Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%								0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+			
yes	yes	yes	no	no	121	Polanui	OLP	KG	TG	EJ	OCO	OCO230503	2028	Camp Olowalu	2023-05-03	10:07	HQ2200 - 3	1	7	1	Refracto					OCO230503	27.5	36.0	6.72	103.1	8.12	16.20	16.90	17.10	16.73	0.028				N	0	2	0	Water was murky; 4th turbidity taken		
yes	yes	yes	no	no	121	Polanui	OLP	KG	TG	EJ	OMM	OMM230503	2029	Mile Marker 14	2023-05-03	10:39	HQ2200 - 3	1	7	1	Refracto					OMM230503	27.9	35.5	6.92	107.2	8.08	2.10	2.52	2.23	2.28	0.094				N	0	9	0	Rotten/sewage smell on roadside while testing; confirmed DO with 2nd reading		
yes	yes	yes	no	no	121	Polanui	OLP	KG	TG	EJ	OUB	OUB230503	2032	Ukumehame Beach	2023-05-03	11:02	HQ2200 - 3	1	7	1	Refracto					OUB230503	27.1	35.0	6.78	103.3	8.21	4.91	5.41	5.18	5.17	0.048				N	1	0	0	Lots of surfers; 1 surfer leaving water as we sampled; surf & shore breaks; 4th turbidity taken; 		
yes	yes	yes	no	no	121	Polanui	OLP	KG	TG	EJ	OPP	OPP230503	2034	Papalaua Pali	2023-05-03	11:21	HQ2200 - 3	1	7	1	Refracto					OPP230503	26.7	36.0	6.77	102.6	8.16	5.95	6.58	6.74	6.42	0.065				N	0	1	0	4th turbidity = 4.58; 5th turbidity = 5.95. *Verified the refractometer in the lab at the end of the sample day with distilled water and it was accurate with 0 ppt.		
yes	yes	yes	no	no	122	Polanui	OLP	KG	KH		PFF	PFF230524	2022	505 Front St	2023-05-24	8:10	HQ2200 - 4	4	8	4	5					PFF230524	25.5	35.1	5.70	84.5	7.98	2.11	1.75	2.03	1.96	0.096				Y	0	6	0	Stream pic taken; 4th turbidity		
yes	yes	yes	no	no	122	Polanui	OLP	KG	KH		PLH	PLH230524	2023	Lindsey Hale	2023-05-24	8:38	HQ2200 - 4	4	8	4	5					PLH230524	25.7	34.9	5.75	85.4	8.04	1.93	1.64	1.81	1.79	0.081				N	0	2	0	Calm		
yes	yes	yes	no	no	122	Polanui	OLP	KG	KH		PLT	PLT230524	2024	Lahaina Town	2023-05-24	9:06	HQ2200 - 4	4	8	4	5					PLT230524	26.1	35.1	5.77	86.4	8.02	1.52	1.48	1.47	1.49	0.018				N	7	0	0	1 tsp of nutrient water missed. Very hard to plunge. 4th turbidity		
yes	yes	yes	no	no	122	Polanui	OLP	KG	KH		OCO	OCO230524	2028	Camp Olowalu	2023-05-24	9:30	HQ2200 - 4	4	8	4	5					OCO230524	26.6	35.3	6.70	101.2	8.10	5.03	4.95	4.77	4.92	0.027				N	0	0	0	4th turbidity		
yes	yes	yes	no	no	122	Polanui	OLP	KG	KH		OMM	OMM230524	2029	Mile Marker 14	2023-05-24	9:50	HQ2200 - 4	4	8	4	5					OMM230524	26.3	35.1	6.45	96.9	8.07	1.49	1.50	1.51	1.50	0.007				N	0	2	0	Calm, beautiful		
yes	yes	yes	no	no	122	Polanui	OLP	KG	KH		OUB	OUB230524	2032	Ukumehame Beach	2023-05-24	10:10	HQ2200 - 4	4	8	4	5					OUB230524	26.1	35.6	6.99	105.0	8.17	6.46	6.67	6.75	6.63	0.023				N	0	0	0			
yes	yes	yes	no	no	122	Polanui	OLP	KG	KH		OPP	OPP230524	2034	Papalaua Pali	2023-05-24	10:26	HQ2200 - 4	4	8	4	5					OPP230524	25.5	35.4	7.08	105.0	8.19	2.02	1.71	1.99	1.91	0.090				N	0	0	0	4th turbidity		
yes	yes	yes	no	no	123	Polanui	OLP	KG	KH		PFF	PFF230614	2022	505 Front St	2023-06-14	8:09	HQ2200 - 3	1	9	1	5					PFF230614	25.8	35.2	5.86	87.0	8.01	0.80	0.68	0.92	0.80	0.150				Y	0	1	0	low tide; lots of surfer along highway all day; 25.7 mgl; 25.7 pH; very calm water; should have taken 4th turbidity reading EJ; salinity above normal		
yes	yes	yes	no	no	123	Polanui	OLP	KG	KH		PLH	PLH230614	2023	Lindsey Hale	2023-06-14	8:39	HQ2200 - 3	1	9	1	5					PLH230614	26.0	35.1	6.08	90.9	8.11	2.91	2.67	2.63	2.74	0.055				N	0	3	0	low tide; 4th turbidity reading 2.09 (forgot to initial); salinity above normal		
yes	yes	yes	no	no	123	Polanui	OLP	KG	KH		PLT	PLT230614	2024	Lahaina Town	2023-06-14	9:03	HQ2200 - 3	1	9	1	5					PLT230614	26.8	35.2	6.41	96.9	8.05	2.48	2.52	2.50	2.50	0.008				N	0	3	0	low tide; monk seal 20-30 ft from shore; salinity above normal		
yes	yes	yes	no	no	123	Polanui	OLP	KG	KH		OCO	OCO230614	2028	Camp Olowalu	2023-06-14	9:42	HQ2200 - 3	1	9	1	5					OCO230614	26.5	35.2	6.54	98.3	8.05	11.10	10.80	10.40	10.77	0.033				N	0	0	0	low tide; 4th turbidity reading 12.5 (forgot to initial); salinity above normal		
yes	yes	yes	no	no	123	Polanui	OLP	KG	KH		OMM	OMM230614	2029	Mile Marker 14	2023-06-14	10:04	HQ2200 - 3	1	9	1	5					OMM230614	26.6	35.2	6.27	94.4	8.09	2.26	2.29	2.34	2.30	0.018				N	0	0	0	low tide; 4th turbidity reading 2.04 (forgot to initial); salinity above normal		
yes	yes	yes	no	no	123	Polanui	OLP	KG	KH		OUB	OUB230614	2032	Ukumehame Beach	2023-06-14	10:22	HQ2200 - 3	1	9	1	5					OUB230614	26.5	35.7	6.75	101.6	8.26	10.70	9.95	10.30	10.32	0.036				N	0	2	0	low tide; surf picking up; salinity above normal		
yes	yes	yes	no	no	123	Polanui	OLP	KG	KH		OPP	OPP230614	2034	Papalaua Pali	2023-06-14	10:43	HQ2200 - 3	1	9	1	5					OPP230614	26.1	35.6	6.76	101.2	8.19	4.92	4.98	4.74	4.88	0.026				N	0	6	0	low tide; big shore break; salinity above normal		
yes	yes	yes	no	no	124	Polanui	OLP	KG	KH		PFF	PFF230705	2022	505 Front St	2023-07-05	8:10	HQ2200 - 4	4	8	4	6					PFF230705	26.7	35.4	5.51	83.3	8.07	5.26	4.51	4.84	4.87	0.077				Y	3	2	0	king low tide; salinity high; super calm; 4th turbidity reading 5.78		
yes	yes	yes	no	no	124	Polanui	OLP	KG	KH		PLH	PLH230705	2023	Lindsey Hale	2023-07-05	8:36	HQ2200 - 4	4	8	4	6					PLH230705	27.2	35.3	5.11	77.9	8.08	4.89	5.06	4.58	4.84	0.050				N	0	1	0	king low tide; salinity high; dirty water directing in front of the drainage pipe; no water flowing now; DO% low		
yes	yes	yes	no	no	124	Polanui	OLP	KG	KH		PLT	PLT230705	2024	Lahaina Town	2023-07-05	8:55	HQ2200 - 4	4	8	4	6					PLT230705	27.3	34.9	5.85	89.4	8.10	8.87	8.74	9.43	9.01	0.041				N	0	0	0	king low tide; salinity high; thick silty bottom so waited and avoided cloudy conditions; put turbidity in wrong place but corrected mistake		
yes	yes	yes	no	no	124	Polanui	OLP	KG	KH		OCO	OCO230705	2028	Camp Olowalu	2023-07-05	9:32	HQ2200 - 4	4	8	4	6					OCO230705	27.3	36.1	6.43	98.3	8.13	2.60	2.49	2.39	2.49	0.042				N	0	2	0	king low tide; salinity high		
yes	yes	yes	no	no	124	Polanui	OLP	KG	KH		OMM	OMM230705	2029	Mile Marker 14	2023-07-05	9:53	HQ2200 - 4	4	8	4	6					OMM230705	26.8	36.0	6.00	91.0	8.08	1.39	1.54	1.24	1.39	0.108				N	1	4	0	king low tide; salinity high; 4th turbidity 1.19		
yes	yes	yes	no	no	124	Polanui	OLP	KG	KH		OUB	OUB230705	2032	Ukumehame Beach	2023-07-05	10:08	HQ2200 - 4	4	8	4	6					OUB230705	28.0	36.3	6.72	104.0	8.17	4.89	4.94	5.24	5.02	0.038				N	0	0	0	king low tide; salinity high; calmer than we've seen		
yes	yes	yes	no	no	124	Polanui	OLP	KG	KH		OPP	OPP230705	2034	Papalaua Pali	2023-07-05	10:24	HQ2200 - 4	4	8	4	6					OPP230705	27.7	36.1	6.78	104.3	8.18	3.48	3.22	3.35	3.35	0.039				N	0	0	0	king low tide; salinity high; windy and misty		
yes	yes	yes	no	no	125	Polanui	OLP	KG	LY	MG	PFF	PFF230726	2022	505 Front St	2023-07-26	8:20	HQ2200 - 3	1	9	5	5					PFF230726	26.9	34.7	5.96	89.9	8.01	4.10	3.45	3.72	3.76	0.087				Y	0	0	0	DO Temp = 26.8, pH Temp = 26.7; 4th turbidity read = 3.31 NTU; med surf, water flowing was very close to fence with high cut out/erosion		
yes	yes	yes	no	no	125	Polanui	OLP	KG	LY	MG	PLH	PLH230726	2023	Lindsey Hale	2023-07-26	8:52	HQ2200 - 3	1	9	5	5					PLH230726	27.3	35.0	6.12	93.0	8.04	22.20	22.50	22.00	22.23	0.011				N	0	1	0	High tide; surf at break		
yes	yes	yes	no	no	125	Polanui	OLP	KG	LY	MG	PLT	PLT230726	2024	Lahaina Town	2023-07-26	9:12	HQ2200 - 3	1	9	5	5					PLT230726	27.8	34.6	5.75	88.1	8.04	8.41	8.97	8.92	8.77	0.035				N	1	0	0	Looked very brown		
yes	yes	yes	no	no	125	Polanui	OLP	KG	KH	MG	OCO	OCO230726	2028	Camp Olowalu	2023-07-26	9:48	HQ2200 - 3	1	9	5	5					OCO230726	27.4	35.5	6.30	96.2	8.03	5.61	5.85	5.61	5.69	0.024				N	0	0	0	Increased wind		
yes	yes	yes	no	no	125	Polanui	OLP	KG	KH	JB	OMM	OMM230726	2029	Mile Marker 14	2023-07-26	10:13	HQ2200 - 3	1	9	5	5					OMM230726	27.6	35.4	6.24	95.7	8.02	4.42	4.99	4.76	4.72	0.061				N	0	3	0	Tide coming in very deep onto beach		
yes	yes	yes	no	no	125	Polanui	OLP	KG	KH	JB	OUB	OUB230726	2032	Ukumehame Beach	2023-07-26	10:37	HQ2200 - 3	1	9	5	5					OUB230726	27.7	35.5	6.71	103.1	8.10	15.90	15.20	14.60	15.23	0.043				N	0	0	0	Shorebreak; very few surfers		
yes	yes	yes	no	no	125	Polanui	OLP	KG	KH	JB	OPP	OPP230726	2034	Papalaua Pali	2023-07-26	10:55	HQ2200 - 3	1	9	5	5					OPP230726	27.2	35.3	6.82	103.8	8.13	4.60	4.51	4.36	4.49	0.027				N	0	0	0	Typical big break at shore		
yes	yes	no	no	no	126	Polanui					PFF	PFF230816	2022	505 Front St	2023-08-16											PFF230816																		Extreme fires in Lahaina 8 days prior; did not sample		
yes	yes	no	no	no	126	Polanui					PLH	PLH230816	2023	Lindsey Hale	2023-08-16											PLH230816																		Extreme fires in Lahaina 8 days prior; did not sample		
yes	yes	no	no	no	126	Polanui					PLT	PLT230816	2024	Lahaina Town	2023-08-16											PLT230816																		Extreme fires in Lahaina 8 days prior; did not sample		
yes	yes	yes	no	no	126	Polanui	LYL/LPK	KH	KG	MG	OCO	OCO230816	2028	Camp Olowalu	2023-08-16	9:03	HQ2200 - SM 3	SM 5	SM 5	SM 3	SM 7					OCO230816	27.2	35.9	6.35	97.1	8.08	1.62	1.85	1.66	1.71	0.072				N	0	0	0	Extreme fires in Lahaina 8 days prior; many trees down; pics taken; light breeze; calm water; cloudy; Kristy's power and thus freezer went out around 11 am so nutrient samples stayed in cooler bag with blue ice until 6:30 pm		
yes	yes	yes	no	no	126	Polanui	LYL/LPK	KH	KG	MG	OMM	OMM230816	2029	Mile Marker 14	2023-08-16	9:24	HQ2200 - SM 3	SM 5	SM 5	SM 3	SM 7					OMM230816	26.9	35.6	5.94	90.2	8.04	1.57	1.69	1.62	1.63	0.037				N	0	0	0	Extreme fires in Lahaina 8 days prior; looks like always; 4th turbidity reading 1.79; Kristy's power and thus freezer went out around 11 am so nutrient samples stayed in cooler bag with blue ice until 6:30 pm		
yes	yes	yes	no	no	126	Polanui	LYL/LPK	KH	KG	MG	OUB	OUB230816	2032	Ukumehame Beach	2023-08-16	9:44	HQ2200 - SM 3	SM 5	SM 5	SM 3	SM 7					OUB230816	26.7	35.9	6.75	102.5	8.14	6.59	6.35	6.43	6.46	0.019				N	0	0	0	Extreme fires in Lahaina 8 days prior; some branches down by road; calm surf; Kristy's power and thus freezer went out around 11 am so nutrient samples stayed in cooler bag with blue ice until 6:30 pm		
yes	yes	yes	no	no	126	Polanui	LYL/LPK	KH	KG	MG	OPP	OPP230816	2034	Papalaua Pali	2023-08-16	10:14	HQ2200 - SM 3	SM 5	SM 5	SM 3	SM 7					OPP230816	27.0	35.9	6.94	105.8	8.20	2.33	2.51	2.24	2.36	0.058				N	0	0	0	Extreme fires in Lahaina 8 days prior; relatively calm surf; 4th turbidity reading 2.61; Kristy's power and thus freezer went out around 11 am so nutrient samples stayed in cooler bag with blue ice until 6:30 pm		
yes	yes	yes	no	no	127	Polanui	NMS	MG	KG	MS	OCO	OCO230913	2028	Camp Olowalu	2023-09-13	9:08	HQ2200 - SM 3	SM 5	SM 5	SM 3	SM 7					OCO230913	26.8	35.8	6.48	98.5	8.06	3.42	3.16	3.58	3.39	0.063				N	0	0	0	Calm water; sunny; light breeze; no people		
yes	yes	yes	no	no	127	Polanui	NMS	MG	KG	MS	OMM	OMM230913	2029	Mile Marker 14	2023-09-13	9:32	HQ2200 - SM 3	SM 5	SM 5	SM 3	SM 7					OMM230913	27.0	35.9	6.19	94.4	8.04	1.98	1.99	2.05	2.01	0.019				N	0	2	1	Calm water; overcast; light breeze		
yes	yes	yes	no	no	127	Polanui	NMS	MG	KG	MS	OUB	OUB230913	2032	Ukumehame Beach	2023-09-13	9:52	HQ2200 - SM 3	SM 5	SM 5	SM 3	SM 7					OUB230913	26.9	36.1	6.69	101.8	8.12	8.96	9.78	9.59	9.44	0.045				N	6	0	0	Light sprinkle rain just starting but stopped in 5 min; calm water; small swell with incoming waves; overcast; small bits of burned debris at shoreline; 4th turbidity taken 10.2		
yes	yes	yes	no	no	127	Polanui	NMS	MG	KG	MS	OPP	OPP230913	2034	Papalaua Pali	2023-09-13	10:12	HQ2200 - SM 3	SM 5	SM 5	SM 3	SM 7					OPP230913	26.6	36.0	6.67	101.1	8.14	2.14	2.41	2.09	2.21	0.078				N	10	0	0	Overcast; surfers in water; small waves with 2' width; small shorebreak at collection spot; 4th turbidity taken 1.91		